Type;First_direction;Try;Score;Moves;Status;Category
Monte_Carlo;left;0;7332;1000;Loose;Heuristika
Monte_Carlo;left;1;16032;1000;Loose;Heuristika
Monte_Carlo;left;2;16052;1000;Loose;Heuristika
Monte_Carlo;left;3;15992;1000;Loose;Heuristika
Monte_Carlo;left;4;18600;1000;Loose;Heuristika
Monte_Carlo;left;5;15820;1000;Loose;Heuristika
Monte_Carlo;left;6;18196;959;Win;Heuristika
Monte_Carlo;left;7;18064;936;Win;Heuristika
Monte_Carlo;left;8;18656;1000;Loose;Heuristika
Monte_Carlo;left;9;7124;1000;Loose;Heuristika
Monte_Carlo;left;10;18580;1000;Loose;Heuristika
Monte_Carlo;left;11;18108;942;Win;Heuristika
Monte_Carlo;left;12;16368;1000;Loose;Heuristika
Monte_Carlo;left;13;16060;1000;Loose;Heuristika
Monte_Carlo;left;14;14320;1000;Loose;Heuristika
Monte_Carlo;left;15;15492;1000;Loose;Heuristika
Monte_Carlo;left;16;14632;1000;Loose;Heuristika
Monte_Carlo;left;17;16324;1000;Loose;Heuristika
Monte_Carlo;left;18;16672;1000;Loose;Heuristika
Monte_Carlo;left;19;14280;1000;Loose;Heuristika
Monte_Carlo;left;20;18128;955;Win;Heuristika
Monte_Carlo;left;21;18820;1000;Loose;Heuristika
Monte_Carlo;left;22;16152;1000;Loose;Heuristika
Monte_Carlo;left;23;18904;1000;Loose;Heuristika
Monte_Carlo;left;24;18140;955;Win;Heuristika
Monte_Carlo;left;25;18596;1000;Loose;Heuristika
Monte_Carlo;left;26;16044;1000;Loose;Heuristika
Monte_Carlo;left;27;7128;1000;Loose;Heuristika
Monte_Carlo;left;28;18588;1000;Loose;Heuristika
Monte_Carlo;left;29;18844;958;Win;Heuristika
Random;left;0;1448;172;Loose;Random
Random;down;1;956;139;Loose;Random
Random;down;2;1300;173;Loose;Random
Random;down;3;584;95;Loose;Random
Random;up;4;892;118;Loose;Random
Random;down;5;684;98;Loose;Random
Random;down;6;2860;276;Loose;Random
Random;left;7;2328;225;Loose;Random
Random;up;8;1436;211;Loose;Random
Random;left;9;228;51;Loose;Random
Random;up;10;1196;154;Loose;Random
Random;down;11;1580;182;Loose;Random
Random;right;12;536;89;Loose;Random
Random;down;13;1612;190;Loose;Random
Random;up;14;1908;188;Loose;Random
Random;left;15;604;100;Loose;Random
Random;down;16;1244;155;Loose;Random
Random;up;17;1000;128;Loose;Random
Random;left;18;1372;161;Loose;Random
Random;left;19;1288;156;Loose;Random
Random;up;20;1060;136;Loose;Random
Random;down;21;580;90;Loose;Random
Random;up;22;1280;174;Loose;Random
Random;left;23;1616;193;Loose;Random
Random;up;24;720;110;Loose;Random
Random;up;25;1448;192;Loose;Random
Random;right;26;704;110;Loose;Random
Random;up;27;604;100;Loose;Random
Random;down;28;2188;218;Loose;Random
Random;down;29;604;108;Loose;Random
Prioritize_Upper_Right;up;0;3952;324;Loose;Posun
Prioritize_Upper_Right;up;1;1692;170;Loose;Posun
Prioritize_Upper_Right;up;2;2788;245;Loose;Posun
Prioritize_Upper_Right;up;3;1680;182;Loose;Posun
Prioritize_Upper_Right;up;4;2688;232;Loose;Posun
Prioritize_Upper_Right;up;5;2612;229;Loose;Posun
Prioritize_Upper_Right;up;6;1884;190;Loose;Posun
Prioritize_Upper_Right;up;7;1816;185;Loose;Posun
Prioritize_Upper_Right;up;8;2520;212;Loose;Posun
Prioritize_Upper_Right;up;9;1972;201;Loose;Posun
Prioritize_Upper_Right;up;10;2720;230;Loose;Posun
Prioritize_Upper_Right;up;11;3108;259;Loose;Posun
Prioritize_Upper_Right;up;12;2264;215;Loose;Posun
Prioritize_Upper_Right;up;13;900;117;Loose;Posun
Prioritize_Upper_Right;up;14;2316;203;Loose;Posun
Prioritize_Upper_Right;up;15;3016;265;Loose;Posun
Prioritize_Upper_Right;up;16;1336;150;Loose;Posun
Prioritize_Upper_Right;up;17;5068;363;Loose;Posun
Prioritize_Upper_Right;up;18;3212;267;Loose;Posun
Prioritize_Upper_Right;up;19;3192;264;Loose;Posun
Prioritize_Upper_Right;up;20;2368;201;Loose;Posun
Prioritize_Upper_Right;up;21;1796;178;Loose;Posun
Prioritize_Upper_Right;up;22;724;99;Loose;Posun
Prioritize_Upper_Right;up;23;2420;222;Loose;Posun
Prioritize_Upper_Right;up;24;3500;291;Loose;Posun
Prioritize_Upper_Right;up;25;1588;162;Loose;Posun
Prioritize_Upper_Right;up;26;2376;203;Loose;Posun
Prioritize_Upper_Right;up;27;1044;126;Loose;Posun
Prioritize_Upper_Right;up;28;3176;259;Loose;Posun
Prioritize_Upper_Right;up;29;2896;251;Loose;Posun
Prioritize_Upper_Left;up;0;2328;194;Loose;Posun
Prioritize_Upper_Left;up;1;2396;223;Loose;Posun
Prioritize_Upper_Left;up;2;2016;194;Loose;Posun
Prioritize_Upper_Left;up;3;1532;163;Loose;Posun
Prioritize_Upper_Left;up;4;3052;262;Loose;Posun
Prioritize_Upper_Left;up;5;1636;172;Loose;Posun
Prioritize_Upper_Left;up;6;932;116;Loose;Posun
Prioritize_Upper_Left;up;7;1632;164;Loose;Posun
Prioritize_Upper_Left;up;8;2644;232;Loose;Posun
Prioritize_Upper_Left;up;9;760;100;Loose;Posun
Prioritize_Upper_Left;up;10;1924;199;Loose;Posun
Prioritize_Upper_Left;up;11;1052;127;Loose;Posun
Prioritize_Upper_Left;up;12;1756;180;Loose;Posun
Prioritize_Upper_Left;up;13;2620;230;Loose;Posun
Prioritize_Upper_Left;up;14;4236;350;Loose;Posun
Prioritize_Upper_Left;up;15;728;96;Loose;Posun
Prioritize_Upper_Left;up;16;2380;205;Loose;Posun
Prioritize_Upper_Left;up;17;1800;186;Loose;Posun
Prioritize_Upper_Left;up;18;1836;184;Loose;Posun
Prioritize_Upper_Left;up;19;1484;155;Loose;Posun
Prioritize_Upper_Left;up;20;3564;301;Loose;Posun
Prioritize_Upper_Left;up;21;2928;259;Loose;Posun
Prioritize_Upper_Left;up;22;2864;245;Loose;Posun
Prioritize_Upper_Left;up;23;1488;157;Loose;Posun
Prioritize_Upper_Left;up;24;2604;227;Loose;Posun
Prioritize_Upper_Left;up;25;1776;180;Loose;Posun
Prioritize_Upper_Left;up;26;1344;138;Loose;Posun
Prioritize_Upper_Left;up;27;1560;162;Loose;Posun
Prioritize_Upper_Left;up;28;2756;237;Loose;Posun
Prioritize_Upper_Left;up;29;1788;182;Loose;Posun
Prioritize_Left_Upper;up;0;1400;145;Loose;Posun
Prioritize_Left_Upper;up;1;348;64;Loose;Posun
Prioritize_Left_Upper;up;2;4108;336;Loose;Posun
Prioritize_Left_Upper;up;3;3604;305;Loose;Posun
Prioritize_Left_Upper;up;4;3316;281;Loose;Posun
Prioritize_Left_Upper;up;5;1052;128;Loose;Posun
Prioritize_Left_Upper;up;6;2448;210;Loose;Posun
Prioritize_Left_Upper;up;7;2676;234;Loose;Posun
Prioritize_Left_Upper;up;8;3160;260;Loose;Posun
Prioritize_Left_Upper;up;9;1280;135;Loose;Posun
Prioritize_Left_Upper;up;10;3068;262;Loose;Posun
Prioritize_Left_Upper;up;11;2328;216;Loose;Posun
Prioritize_Left_Upper;up;12;992;128;Loose;Posun
Prioritize_Left_Upper;up;13;2228;212;Loose;Posun
Prioritize_Left_Upper;up;14;3136;257;Loose;Posun
Prioritize_Left_Upper;up;15;1896;193;Loose;Posun
Prioritize_Left_Upper;up;16;2896;251;Loose;Posun
Prioritize_Left_Upper;up;17;1928;198;Loose;Posun
Prioritize_Left_Upper;up;18;1416;151;Loose;Posun
Prioritize_Left_Upper;up;19;3064;261;Loose;Posun
Prioritize_Left_Upper;up;20;4200;345;Loose;Posun
Prioritize_Left_Upper;up;21;744;99;Loose;Posun
Prioritize_Left_Upper;up;22;3132;262;Loose;Posun
Prioritize_Left_Upper;up;23;3804;308;Loose;Posun
Prioritize_Left_Upper;up;24;3448;287;Loose;Posun
Prioritize_Left_Upper;up;25;4060;328;Loose;Posun
Prioritize_Left_Upper;up;26;740;98;Loose;Posun
Prioritize_Left_Upper;up;27;2908;257;Loose;Posun
Prioritize_Left_Upper;up;28;3996;326;Loose;Posun
Prioritize_Left_Upper;up;29;3232;271;Loose;Posun
Prioritize_Lower_Left;left;0;1720;178;Loose;Posun
Prioritize_Lower_Left;left;1;1500;160;Loose;Posun
Prioritize_Lower_Left;left;2;3556;303;Loose;Posun
Prioritize_Lower_Left;left;3;1316;145;Loose;Posun
Prioritize_Lower_Left;left;4;1736;175;Loose;Posun
Prioritize_Lower_Left;left;5;2100;196;Loose;Posun
Prioritize_Lower_Left;left;6;1560;159;Loose;Posun
Prioritize_Lower_Left;left;7;1188;131;Loose;Posun
Prioritize_Lower_Left;left;8;608;92;Loose;Posun
Prioritize_Lower_Left;left;9;2148;213;Loose;Posun
Prioritize_Lower_Left;left;10;2692;237;Loose;Posun
Prioritize_Lower_Left;left;11;1464;155;Loose;Posun
Prioritize_Lower_Left;left;12;1616;172;Loose;Posun
Prioritize_Lower_Left;left;13;3108;259;Loose;Posun
Prioritize_Lower_Left;left;14;2260;224;Loose;Posun
Prioritize_Lower_Left;left;15;4672;318;Loose;Posun
Prioritize_Lower_Left;left;16;3756;307;Loose;Posun
Prioritize_Lower_Left;left;17;1228;140;Loose;Posun
Prioritize_Lower_Left;left;18;1168;126;Loose;Posun
Prioritize_Lower_Left;left;19;3116;260;Loose;Posun
Prioritize_Lower_Left;left;20;1400;144;Loose;Posun
Prioritize_Lower_Left;left;21;1752;182;Loose;Posun
Prioritize_Lower_Left;left;22;2864;235;Loose;Posun
Prioritize_Lower_Left;left;23;2884;245;Loose;Posun
Prioritize_Lower_Left;left;24;1752;178;Loose;Posun
Prioritize_Lower_Left;left;25;3884;317;Loose;Posun
Prioritize_Lower_Left;left;26;1040;115;Loose;Posun
Prioritize_Lower_Left;left;27;1916;198;Loose;Posun
Prioritize_Lower_Left;left;28;3284;270;Loose;Posun
Prioritize_Lower_Left;left;29;1884;195;Loose;Posun
Prioritize_Lower_Right;right;0;3264;273;Loose;Posun
Prioritize_Lower_Right;right;1;980;105;Loose;Posun
Prioritize_Lower_Right;right;2;2792;242;Loose;Posun
Prioritize_Lower_Right;right;3;1616;168;Loose;Posun
Prioritize_Lower_Right;right;4;1736;176;Loose;Posun
Prioritize_Lower_Right;right;5;1060;124;Loose;Posun
Prioritize_Lower_Right;right;6;2160;216;Loose;Posun
Prioritize_Lower_Right;right;7;3504;296;Loose;Posun
Prioritize_Lower_Right;right;8;1128;127;Loose;Posun
Prioritize_Lower_Right;right;9;2640;227;Loose;Posun
